filename,report_number,commodity,type,heading_sequence
M-45-2026 Hari Agro Products (Nargo Industries USA Inc) Apple Container No. ONEU9019596.pdf,M-45-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-47-2026 ASRA Enterprises (Fruit Family SP. Z O.O.) Apple Container Nos. HLBU9822040 & UAEU1265930.pdf,M-47-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1
M-48-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container Nos. MNBU3003250 & MNBU3890344.pdf,M-48-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS # MNBU3003250
M-49-2025 NGK Trading - Granny Apple Container No. EMCU5682488.pdf,M-49-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-53-2025 Reliance Retails Ltd - Apple Container No. MSDU9881900.pdf,M-53-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf,M-54-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf,M-55-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-55-2026 Reliance Retail Ltd (Exportadora San Clemente S.A) Apple Container No. HLBU94453.pdf,M-55-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf,M-56-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-57-2025 Reliance Retail Ltd - Apple Container No. FBIU5147179.pdf,M-57-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf,M-57-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-58-2026 Fresh Fruit Alliances Apple # FBIU5195670 & TTNU8739314.pdf,M-58-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-59-2026 Fresh Fruit Alliances Apple # CXRU1264528 & CXRU1132619.pdf,M-59-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-60-2026 NGK Trading (TYT Export S.A.) Apple Container No. SEKU9109660.pdf,M-60-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-61-2025 Reliance Retail Ltd - Apple Container No. UACU4766060.pdf,M-61-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-61-2026 Archana Enterprises (Snazzy Fruit Company Ltd) Apple # GESU9549296.pdf,M-61-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf,M-62-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS
M-64-2025 Fresh Fruit Alliances - Apple Container No. SEGU9441670.pdf,M-64-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-64-2026 NGK Trading (Exportadora Rio Miapo SPA) Apple Container No. ONE9129823.pdf,M-64-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-65-2025 Fresh Fruit Alliances - Apple Container Nos. TEMU9470206 & TCLU1102957.pdf,M-65-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-65-2026 NGK Trading (Exportadora Rio Miapo SPA) Apple Container No. ONE9148628.pdf,M-65-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
"M-67-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. CXRU1556556.pdf",M-67-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS
"M-69-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. FBIU5747506.pdf",M-69-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS
M-71-2025 Anusaya Fresh - Granny Apple Container No. MNBU3189289.pdf,M-71-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-72-2025 Anusaya Fresh - Granny Apple Container No. MNBU3589618.pdf,M-72-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-72-2026 Reliance Retail Ltd (Delta Agrar Serbia ) Apple Container No. CGMU5083063 Taloja.pdf,M-72-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
