filename,row_preview,computed_total,stated_total,difference
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014862 | 135 | 325,135,325,190
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014871 | 120 | 14,120,14,106
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014872 | 135 | 219,135,219,84
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014873 | 150 | 215,150,215,65
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014872 | 135 | 112,135,112,23
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014874 | 165 | 56,165,56,109
"M-67-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. CXRU1556556.pdf", | Percentage |  |  |  | ,37.40,2.60,34.80
"M-67-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. CXRU1556556.pdf", | Percentage |  |  |  | ,53.40,1.60,51.80
"M-67-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. CXRU1556556.pdf", | Percentage |  |  |  | ,36.90,1.23,35.67
"M-69-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. FBIU5747506.pdf",Percentage |  |  |  |  | ,29.00,2.15,26.85
M-76-2026 Vande Fresh (Harvest SPA) Apple Container No. PCLU6145125.pdf, | Royal Gala 100 AAA |  |  | 1 | ,99,2,97
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf, | 1. |  |  | 113 | ,250.36,10.90,239.46
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf, | 2. |  |  | 113 | ,247.79,12.96,234.83
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf, | 3. |  |  | 113 | ,251.60,13.63,237.97
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf, | 4. |  |  | 113 | ,251.24,15.88,235.36
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf, | 5. |  |  | 113 | ,249.14,11.17,237.97
