filename,report_number,type,family,commodity,client,container_count,photo_count,page_count,date,content_hash
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple Container No. EMCU5663873.pdf,M-77-2026,SURVEY,SURVEY_REPORT,APPLE,5 TTC Industrial area,1,152,26,19 April 2026,92e7db5c2be7377d
M-8-2026 Fresh Fruit Alliances (Dole Italia S.R.L) Apple Container No. HLBU6166483.pdf,M-8-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,1,160,28,15 February 2026,46416753fbf60fde
M-8-2026 Fresh Fruit Alliances (Dole Italia S.R.L) Apple Container No. HLBU6166483_compressed.pdf,M-8-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,1,160,28,15 February 2026,f8761238f785565f
M-82-2025 NGK Trading - Apple Container No. MSDU9894240.pdf,M-82-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,34,11,29 June 2025,22f55a0233e1f65f
M-83-2025 NGK Trading - Apple Container No. SZLU9317241.pdf,M-83-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,27,11,29 June 2025,76f6714558820595
M-84-2025 NGK Trading - Apple Container No. SZLU9261116.pdf,M-84-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,26,11,29 June 2025,0d19e66fc4097e36
M-84-2026 FFA (Exportadora Manga Trading S.A) Apple Container Nos. FBIU5554636 & OTPU6737969.pdf,M-84-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,2,474,72,2 May 2026,48b7b8e85e66ac95
M-86-2025 Reliance Retail - Apple Container No. OERU4209087 (Bangalore).pdf,M-86-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,14,11,21 June 2025,ec17827be534d7ff
M-87-2025 NGK Trading Apple Container No. MSDU9892654 (Revised).pdf,M-87-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,33,13,15 July 2025,2d5bd903528beb1f
M-91-2025 NGK Trading Apple Container No. SZLU9248449.pdf,M-91-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,24,9,29 June 2025,401bcf176b551433
M-91-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EGSU5081085.pdf,M-91-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,156,27,22 May 2026,f8f26890b6e87866
M-92-2026 Vande Fresh (Harvest SPA) Apple # SZLU9764949.pdf,M-92-2026,SURVEY,SURVEY_REPORT,APPLE,Vande Fresh,1,146,26,21 April 2026,11864f82b108aa5e
M-93-2026 Kiaora Food (RD8 Fresh Produce) Apple # OERU4365958.pdf,M-93-2026,SURVEY,SURVEY_REPORT,APPLE,Kiaora Food & Beverages LLP,1,220,37,24 May 2026,63a3b8e63c7bf396
